epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6629922986030579,1.1117405891418457,0.0005,0.42327043414115906,1.7450517416000366
1,0.9068779349327087,0.5727943181991577,0.0005,0.948427677154541,0.6235533356666565
2,0.9415547251701355,0.4907861351966858,0.0005,0.954088032245636,0.5561463832855225
3,0.9644046425819397,0.42993733286857605,0.0005,0.9666666388511658,0.49747464060783386
4,0.9700310230255127,0.4097782373428345,0.0005,0.9647798538208008,0.4704355001449585
5,0.9788724184036255,0.3838365077972412,0.0005,0.9603773355484009,0.47275885939598083
6,0.9702606201171875,0.39889004826545715,0.0005,0.9811320900917053,0.3761833906173706
7,0.9839246869087219,0.3611154854297638,0.0005,0.9798741936683655,0.37508395314216614
8,0.9878286719322205,0.35115376114845276,0.0005,0.9742138385772705,0.39012008905410767
9,0.9849581122398376,0.3532603979110718,0.0005,0.9723270535469055,0.3892722725868225
10,0.9901251792907715,0.33610522747039795,0.0005,0.9679245352745056,0.3850218951702118
11,0.9848432540893555,0.35152265429496765,0.0005,0.9729560017585754,0.3932938575744629
12,0.9869101047515869,0.34142711758613586,0.0005,0.9735848903656006,0.38223081827163696
13,0.9949477314949036,0.3200366199016571,0.00025,0.9842767119407654,0.3473449647426605
14,0.9959811568260193,0.3143257796764374,0.00025,0.9842767119407654,0.34521761536598206
15,0.9964404702186584,0.3142695724964142,0.00025,0.9811320900917053,0.35298827290534973
16,0.9951773881912231,0.31256163120269775,0.00025,0.9786163568496704,0.3577325642108917
17,0.994373619556427,0.3148617148399353,0.00025,0.9849056601524353,0.34044232964515686
18,0.9958663582801819,0.3106056749820709,0.00025,0.9830188751220703,0.33627989888191223
19,0.9951773881912231,0.30859455466270447,0.00025,0.9748427867889404,0.34012895822525024
20,0.9949477314949036,0.3116558790206909,0.00025,0.9855346083641052,0.326404869556427
21,0.996670126914978,0.30298542976379395,0.00025,0.9855346083641052,0.3226836323738098
22,0.994373619556427,0.3087846636772156,0.00025,0.9748427867889404,0.3578394949436188
23,0.9952922463417053,0.30481311678886414,0.00025,0.9823899269104004,0.305279940366745
24,0.997014582157135,0.30028170347213745,0.00025,0.9855346083641052,0.32611966133117676
25,0.9968997836112976,0.2973814308643341,0.00025,0.9748427867889404,0.34501612186431885
26,0.9960960149765015,0.3007150888442993,0.00025,0.9842767119407654,0.3203650414943695
27,0.9960960149765015,0.2972066402435303,0.00025,0.9836478233337402,0.33310866355895996
28,0.9971293807029724,0.29472193121910095,0.00025,0.9830188751220703,0.3371952176094055
29,0.9971293807029724,0.2938383221626282,0.000125,0.9861634969711304,0.3160650134086609
30,0.9985073208808899,0.2901950180530548,0.000125,0.9855346083641052,0.33243414759635925
31,0.9977035522460938,0.28950655460357666,0.000125,0.9855346083641052,0.32505419850349426
32,0.9986221194267273,0.286581814289093,0.000125,0.9836478233337402,0.32985344529151917
33,0.9983924627304077,0.28787481784820557,0.000125,0.9855346083641052,0.3185650408267975
34,0.9982776641845703,0.2850683033466339,6.25e-05,0.9861634969711304,0.30956795811653137
35,0.9975886940956116,0.28909897804260254,6.25e-05,0.9823899269104004,0.33090847730636597
36,0.9986221194267273,0.2850406765937805,6.25e-05,0.9836478233337402,0.32913583517074585
37,0.9987369179725647,0.2859770357608795,6.25e-05,0.9849056601524353,0.3277782201766968
38,0.9989665746688843,0.28304266929626465,6.25e-05,0.9830188751220703,0.3303588628768921
39,0.9988517761230469,0.28272294998168945,3.125e-05,0.9823899269104004,0.32914939522743225
