ablated,accuracy,condition,macro_f1,n_eval,weighted_f1
,1.0,normal,1.0,2735,1.0
imu,0.33308957952468005,no_imu,0.16657524227463888,2735,0.16645343222544354
image,1.0,no_image,1.0,2735,1.0
audio,0.7411334552102377,no_audio,0.6822182357761388,2735,0.6879601238786298
tof,1.0,no_tof,1.0,2735,1.0
