class,precision,recall,f1,support
asphalt,1.0,0.9608938547486033,0.98005698005698,179
PVC,0.9942857142857143,1.0,0.997134670487106,174
sand,0.9867549668874173,1.0,0.9933333333333333,149
gravel,0.9852941176470589,1.0,0.9925925925925926,268
grass,1.0,1.0,1.0,181
