class,precision,recall,f1,support
asphalt,1.0,0.055865921787709494,0.10582010582010581,179
PVC,0.26851851851851855,1.0,0.4233576642335766,174
sand,0.971830985915493,0.9261744966442953,0.9484536082474226,149
gravel,0.0,0.0,0.0,268
grass,0.9933774834437086,0.8287292817679558,0.9036144578313253,181
