accuracy,best_model,classes,config.eval_npz,config.eval_samples,config.modalities,config.modalities_parsed,config.seed,config.task,config.train_npz,config.train_samples,fusion,macro_f1,metrics_path,modalities,model_params,model_size_mb,n_eval,run_dir,task,weighted_f1
1.0,models_m14_rgb64/fusion_strategy_extra/stage2/activity_imu_image_audio_tof_early_flat_seed42/best_model.h5,"walk,standing,sitting",datasets_m14_rgb64_stage2/activity/dataset_test.npz,2735,"imu,image,audio,tof","imu,image,audio,tof",42,activity,datasets_m14_rgb64_stage2/activity/dataset_train.npz,29788,early_flat,1.0,models_m14_rgb64/fusion_strategy_extra/stage2/activity_imu_image_audio_tof_early_flat_seed42/metrics.json,"imu,image,audio,tof",7130883,81.70682525634766,2735,models_m14_rgb64/fusion_strategy_extra/stage2/activity_imu_image_audio_tof_early_flat_seed42,activity,1.0
0.9820840950639854,models_m14_rgb64/fusion_strategy_extra/stage2/activity_imu_image_audio_tof_late_avg_seed42/best_model.h5,"walk,standing,sitting",datasets_m14_rgb64_stage2/activity/dataset_test.npz,2735,"imu,image,audio,tof","imu,image,audio,tof",42,activity,datasets_m14_rgb64_stage2/activity/dataset_train.npz,29788,late_avg,0.9818953954712054,models_m14_rgb64/fusion_strategy_extra/stage2/activity_imu_image_audio_tof_late_avg_seed42/metrics.json,"imu,image,audio,tof",392348,4.783599853515625,2735,models_m14_rgb64/fusion_strategy_extra/stage2/activity_imu_image_audio_tof_late_avg_seed42,activity,0.9820465763117192
0.7981072555205048,models_m14_rgb64/fusion_strategy_extra/stage2/surface_image_audio_early_flat_seed42/best_model.h5,"asphalt,PVC,sand,gravel,grass",datasets_m14_rgb64_stage2/surface/dataset_test.npz,951,"image,audio","image,audio",42,surface,datasets_m14_rgb64_stage2/surface/dataset_train.npz,10299,early_flat,0.7559073757713681,models_m14_rgb64/fusion_strategy_extra/stage2/surface_image_audio_early_flat_seed42/metrics.json,"image,audio",6869509,78.68450164794922,951,models_m14_rgb64/fusion_strategy_extra/stage2/surface_image_audio_early_flat_seed42,surface,0.7732029095442535
0.9716088328075709,models_m14_rgb64/fusion_strategy_extra/stage2/surface_image_audio_late_avg_seed42/best_model.h5,"asphalt,PVC,sand,gravel,grass",datasets_m14_rgb64_stage2/surface/dataset_test.npz,951,"image,audio","image,audio",42,surface,datasets_m14_rgb64_stage2/surface/dataset_train.npz,10299,late_avg,0.9692339421894971,models_m14_rgb64/fusion_strategy_extra/stage2/surface_image_audio_late_avg_seed42/metrics.json,"image,audio",256938,3.1106796264648438,951,models_m14_rgb64/fusion_strategy_extra/stage2/surface_image_audio_late_avg_seed42,surface,0.9711900965497136
