ablated,accuracy,condition,macro_f1,n_eval,weighted_f1
,0.9926393270241851,normal,0.9926235152940024,951,0.9925900247912064
image,0.49631966351209256,no_image,0.476249167226486,951,0.41795987067799906
audio,0.28180862250262884,no_audio,0.08794093519278097,951,0.12391256904135278
