fold,task,fusion,modalities,seed,test_accuracy,test_macro_f1,test_weighted_f1,test_n,nonoverlap_accuracy,nonoverlap_macro_f1,nonoverlap_weighted_f1,nonoverlap_n
test_p1p2,activity,gated,imu+audio,99,0.484985835694051,0.3654487494300081,0.3746062975346966,19415,0.4831886660680435,0.36417900779914586,0.3729024927775563,10023
test_p1p2,surface,concat,audio+image,99,0.3384111617312073,0.21735475367636345,0.25627244519884923,7024,0.33904867256637167,0.2161075874390662,0.2553719208240898,3616
test_p3,activity,gated,imu+audio,99,0.5893184228284971,0.5810966398242808,0.5803017332792366,10373,0.5900168255748738,0.5821888905456628,0.581148107174569,5349
test_p3,surface,concat,audio+image,99,0.19358778625954198,0.20213273110550206,0.19790501664144178,3275,0.19285714285714287,0.20101738262992633,0.19714344415447432,1680
test_p4,activity,gated,imu+audio,99,0.3959780621572212,0.3147246293982568,0.31659859272596425,2735,0.39731827805222303,0.3206720205220955,0.3224626138904356,1417
test_p4,surface,concat,audio+image,99,0.2902208201892745,0.25634690958024714,0.255261811835102,951,0.30425963488843816,0.2707299726494726,0.2664631926735513,493
