task,fusion,modalities,n_runs,test_accuracy_mean_std,test_macro_f1_mean_std,nonoverlap_macro_f1_mean_std,folder_macro_f1_mean_std,params_mean
activity,concat,tof+audio+image,3,0.8657 ± 0.0504,0.8599 ± 0.0561,0.8585 ± 0.0575,0.8777 ± 0.0509,187715.0
activity,gated,tof+mag+audio,3,0.8658 ± 0.1461,0.8591 ± 0.1541,0.8594 ± 0.1541,0.8746 ± 0.1603,88806.0
activity,gated,mag+audio,3,0.8526 ± 0.0869,0.8513 ± 0.0845,0.8508 ± 0.0841,0.8584 ± 0.0741,70965.0
activity,concat,audio+image,3,0.8593 ± 0.0692,0.8503 ± 0.0773,0.8511 ± 0.0759,0.8599 ± 0.0881,165315.0
activity,concat,tof+mag+image,3,0.8535 ± 0.0620,0.8443 ± 0.0702,0.8463 ± 0.0731,0.8675 ± 0.0829,175171.0
activity,gated,audio+image,3,0.8466 ± 0.0988,0.8386 ± 0.1032,0.8408 ± 0.1033,0.8495 ± 0.1015,165461.0
activity,concat,mag+audio,3,0.8398 ± 0.0553,0.8371 ± 0.0506,0.8377 ± 0.0505,0.8364 ± 0.0355,70819.0
activity,gated,tof+mag+image,3,0.8383 ± 0.0386,0.8300 ± 0.0429,0.8298 ± 0.0422,0.8482 ± 0.0443,170758.0
activity,gated,tof+audio+image,3,0.8311 ± 0.0925,0.8244 ± 0.0970,0.8244 ± 0.0961,0.8315 ± 0.0973,183302.0
activity,concat,mag+image,3,0.8350 ± 0.0526,0.8244 ± 0.0520,0.8259 ± 0.0537,0.8370 ± 0.0606,152771.0
activity,gated,tof+image,3,0.8270 ± 0.0546,0.8181 ± 0.0576,0.8180 ± 0.0568,0.8347 ± 0.0565,152821.0
activity,concat,tof+mag,3,0.8041 ± 0.0767,0.7952 ± 0.0782,0.7970 ± 0.0808,0.8036 ± 0.0747,58179.0
activity,gated,mag+image,3,0.7729 ± 0.0507,0.7372 ± 0.0864,0.7347 ± 0.0882,0.7551 ± 0.0849,152917.0
