run_dir,fold,task,fusion,modalities,seed,shuffle_train_labels,n_train_internal,n_internal_val,n_test_heldout,params,size_mb,test_accuracy,test_macro_f1,test_weighted_f1,test_n,nonoverlap_accuracy,nonoverlap_macro_f1,nonoverlap_weighted_f1,nonoverlap_n,folder_majority_accuracy,folder_majority_macro_f1,folder_majority_weighted_f1,folder_majority_n,majority_baseline_accuracy,majority_baseline_macro_f1,majority_baseline_weighted_f1,majority_baseline_n,majority_class,zero_audio_accuracy,zero_audio_macro_f1,zero_image_accuracy,zero_image_macro_f1,zero_imu_accuracy,zero_imu_macro_f1,zero_tof_accuracy,zero_tof_macro_f1,zero_mag_accuracy,zero_mag_macro_f1
experiments_lopgo/final_stability/test_p3__activity__gated__imu-tof-mag-audio-image__seed43,test_p3,activity,gated,imu+tof+mag+audio+image,43,False,17780,4370,10373,276840,3.4698715209960938,0.9466885182685819,0.9470774271722623,0.9462469295264723,10373,0.9474668162273322,0.9479976327535068,0.9470498015032581,5349,0.948509485094851,0.9487013999817137,0.9480043584662253,369,0.36103345223175554,0.17684280115219342,0.1915385010069308,10373,sitting,0.807480960185096,0.8013309891225475,0.991612841029596,0.9917705354264297,0.37906102381181916,0.21527694976822653,0.7501205051576207,0.7392563980681954,0.9679938301359298,0.9684630493098373
experiments_lopgo/final_stability/test_p1p2__surface__concat__audio-image__seed44,test_p1p2,surface,concat,audio+image,44,False,3369,857,7024,165573,2.0483245849609375,0.9802107061503417,0.9792631814156719,0.9802104328587219,7024,0.980641592920354,0.9797199543109507,0.980648648457763,3616,0.9960474308300395,0.9956668608037275,0.9960511140628129,253,0.28929384965831434,0.08975265017667845,0.12982444843323648,7024,sand,0.17084282460136674,0.06804926558109448,0.34923120728929385,0.21918417884566202,,,,,,
experiments_lopgo/final_stability/test_p1p2__activity__gated__imu-audio__seed44,test_p1p2,activity,gated,imu+audio,44,False,10468,2640,19415,128629,1.6400604248046875,0.8571207828998197,0.8555807924242939,0.8565008387438386,19415,0.8566297515713858,0.8551480513114856,0.8560698519473998,10023,0.8679245283018868,0.8657032244349087,0.8665553343039522,689,0.3617821272212207,0.17711209450685225,0.19222797092188465,19415,walk,0.8504249291784702,0.8495377675050141,,,0.3319083183105846,0.2007336586174777,,,,
experiments_lopgo/final_stability/test_p1p2__activity__gated__imu-tof-mag-audio-image__seed44,test_p1p2,activity,gated,imu+tof+mag+audio+image,44,False,10468,2640,19415,276840,3.4698715209960938,0.8473860417203194,0.8457442123022947,0.846765713465063,19415,0.8480494861817819,0.8463767775482146,0.8474145150830591,10023,0.8563134978229318,0.8547457283308747,0.8555337512243286,689,0.3617821272212207,0.17711209450685225,0.19222797092188465,19415,walk,0.8454287921710018,0.8441767710559597,0.8471285088848828,0.8459074160240424,0.5761009528714911,0.4998727910647427,0.8465104300798352,0.8444864537836693,0.8471285088848828,0.8446502709044962
experiments_lopgo/final_stability/test_p1p2__surface__concat__audio-image__seed43,test_p1p2,surface,concat,audio+image,43,False,3364,862,7024,165573,2.0483245849609375,0.9770785876993167,0.9757262319955642,0.9770502590915567,7024,0.9753871681415929,0.9737387805723315,0.975347992271163,3616,0.9960474308300395,0.9967126124377144,0.9960407805486431,253,0.28929384965831434,0.08975265017667845,0.12982444843323648,7024,sand,0.28929384965831434,0.08975265017667845,0.33869589977220954,0.21420544633417787,,,,,,
experiments_lopgo/final_stability/test_p1p2__activity__gated__imu-audio__seed43,test_p1p2,activity,gated,imu+audio,43,False,10478,2630,19415,128629,1.6400604248046875,0.8636621169199072,0.8611827451691046,0.8623259912102511,19415,0.8637134590441984,0.8611720162594384,0.8623435503568848,10023,0.872278664731495,0.8692918183092461,0.8703504474209292,689,0.3617821272212207,0.17711209450685225,0.19222797092188465,19415,walk,0.8643317022920423,0.861792597449952,,,0.3083698171516868,0.15712673542765662,,,,
experiments_lopgo/final_stability/test_p1p2__activity__gated__imu-tof-mag-audio-image__seed43,test_p1p2,activity,gated,imu+tof+mag+audio+image,43,False,10478,2630,19415,276840,3.4698715209960938,0.8801442183878444,0.8763574823669705,0.8775663671961016,19415,0.8803751371844757,0.8765253064065237,0.8777634445221588,10023,0.8896952104499274,0.8853002167415852,0.8864342492658384,689,0.3617821272212207,0.17711209450685225,0.19222797092188465,19415,walk,0.8812773628637651,0.8783683939656349,0.8802987380891064,0.871508561478298,0.5810970898789596,0.4768994721654562,0.8812773628637651,0.877253394311929,0.8749420551120268,0.8710906649497533
experiments_lopgo/full_lopgo_search/test_p1p2__activity__single__imu__seed42,test_p1p2,activity,single,imu,42,False,10531,2577,19415,83747,1.0403518676757812,0.8349214524851919,0.8360657090363827,0.8363141095260739,19415,0.8349795470418039,0.8361234698357337,0.8363948505456023,10023,0.8432510885341074,0.8440788848415046,0.844209106918287,689,0.3617821272212207,0.17711209450685225,0.19222797092188465,19415,walk,,,,,,,,,,
experiments_lopgo/full_lopgo_search/test_p4__surface__gated__imu-tof-mag-audio-image__seed42,test_p4,surface,gated,imu+tof+mag+audio+image,42,False,8248,2051,951,277098,3.4719314575195312,0.9631966351209253,0.9606829549428009,0.9620583361528612,951,0.9614604462474645,0.9581330379670503,0.960579189355795,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.5478443743427971,0.5181254668525679,0.8117770767613038,0.7147068820908837,0.8054679284963197,0.780168307766742,0.9674027339642481,0.9672994202388783
experiments_lopgo/full_lopgo_search/test_p4__surface__concat__imu-tof-mag-audio-image__seed42,test_p4,surface,concat,imu+tof+mag+audio+image,42,False,8248,2051,951,290629,3.6224136352539062,0.9873817034700315,0.98692011950763,0.9872144702472596,951,0.9817444219066938,0.9804986710275557,0.9813908702455466,493,1.0,1.0,1.0,36,0.28180862250262884,0.08794093519278097,0.12391256904135278,951,gravel,0.28180862250262884,0.08794093519278097,0.5583596214511041,0.5166533193781895,0.9369085173501577,0.9204471956485157,0.814931650893796,0.7968918847730635,0.9863301787592008,0.986319980089433
