class,precision,recall,f1,support
asphalt,0.9743589743589743,0.8172043010752689,0.8888888888888888,93
PVC,0.9782608695652174,1.0,0.989010989010989,90
sand,0.8735632183908046,0.987012987012987,0.926829268292683,77
gravel,0.9652777777777778,1.0,0.9823321554770318,139
grass,1.0,0.9787234042553191,0.989247311827957,94
