epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6775414943695068,1.0785436630249023,0.0005,0.35541534423828125,2.044182300567627
1,0.919118344783783,0.5491434335708618,0.0005,0.8958990573883057,0.5766000747680664
2,0.9559180736541748,0.45103633403778076,0.0005,0.9463722109794617,0.42885661125183105
3,0.9734925627708435,0.4080181419849396,0.0005,0.8359621167182922,0.735839307308197
4,0.9783474206924438,0.38495370745658875,0.0005,0.8538380861282349,0.671814501285553
5,0.9829109907150269,0.3686350882053375,0.0005,0.9831755757331848,0.33182790875434875
6,0.9885425567626953,0.35045871138572693,0.0005,0.9400631189346313,0.4274086058139801
7,0.9876686930656433,0.34513241052627563,0.0005,0.9001051783561707,0.5419902801513672
8,0.9915525913238525,0.3354729115962982,0.0005,0.8654048442840576,0.6022613644599915
9,0.9913583993911743,0.3293367624282837,0.0005,0.9348054528236389,0.4555794298648834
10,0.9943683743476868,0.321654349565506,0.0005,0.8738170266151428,0.5739720463752747
11,0.9939799904823303,0.31656089425086975,0.00025,0.8380652070045471,0.673744261264801
12,0.9941741824150085,0.31528612971305847,0.00025,0.85173499584198,0.689354419708252
13,0.9961161017417908,0.3102665841579437,0.00025,0.8958990573883057,0.5510178804397583
14,0.9959219098091125,0.3081533908843994,0.00025,0.8769716024398804,0.5691525936126709
15,0.9975726008415222,0.3023011088371277,0.00025,0.9926393032073975,0.301034152507782
16,0.9965044856071472,0.30293166637420654,0.00025,0.8391166925430298,0.7485817074775696
17,0.9962131977081299,0.30351880192756653,0.00025,0.9379600286483765,0.41452428698539734
18,0.9960190057754517,0.30031919479370117,0.00025,0.9127234220504761,0.4882107675075531
19,0.9960190057754517,0.3001171946525574,0.00025,0.9242902398109436,0.44955432415008545
20,0.9977667927742004,0.29670414328575134,0.00025,0.9400631189346313,0.4117395579814911
21,0.9975726008415222,0.2926276624202728,0.000125,0.9421661496162415,0.40358924865722656
22,0.9989319443702698,0.28992652893066406,0.000125,0.9526813626289368,0.38018935918807983
23,0.9976696968078613,0.29146015644073486,0.000125,0.9716088175773621,0.33886778354644775
24,0.9979609847068787,0.28832387924194336,0.000125,0.9116719365119934,0.49252137541770935
25,0.9979609847068787,0.2883860766887665,0.000125,0.9305993914604187,0.42026808857917786
26,0.9994174242019653,0.28380998969078064,6.25e-05,0.9305993914604187,0.42331555485725403
27,0.9989319443702698,0.28393667936325073,6.25e-05,0.9348054528236389,0.4274469316005707
28,0.9987377524375916,0.28347572684288025,6.25e-05,0.9663512110710144,0.33814388513565063
29,0.9989319443702698,0.2839316129684448,6.25e-05,0.9526813626289368,0.3815205991268158
30,0.9990290403366089,0.282375693321228,6.25e-05,0.9190325736999512,0.47750410437583923
31,0.999126136302948,0.28178223967552185,3.125e-05,0.9284963011741638,0.43400341272354126
