epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9374244809150696,0.3641151189804077,0.0005,0.9996343851089478,0.1977696418762207
1,0.9848596453666687,0.2544846832752228,0.0005,1.0,0.1921611875295639
2,0.9894253015518188,0.2353091537952423,0.0005,1.0,0.18845589458942413
3,0.9915738105773926,0.22646920382976532,0.0005,1.0,0.18893255293369293
4,0.9911038279533386,0.22562505304813385,0.0005,0.9992687106132507,0.18977802991867065
5,0.9924802184104919,0.22113078832626343,0.0005,1.0,0.1859545111656189
6,0.9939908981323242,0.21340546011924744,0.0005,1.0,0.1858268827199936
7,0.9935208559036255,0.21358583867549896,0.0005,0.9992687106132507,0.18636848032474518
8,0.9929837584495544,0.21222299337387085,0.0005,1.0,0.18363606929779053
9,0.9940915703773499,0.21009083092212677,0.0005,1.0,0.18278947472572327
10,0.9950651526451111,0.20596762001514435,0.0005,1.0,0.18142324686050415
11,0.9953336715698242,0.20308613777160645,0.0005,1.0,0.18110889196395874
12,0.9958372712135315,0.20147676765918732,0.0005,0.9996343851089478,0.18097878992557526
13,0.9952665567398071,0.20179307460784912,0.0005,0.9996343851089478,0.18097153306007385
14,0.9954344034194946,0.20142652094364166,0.0005,1.0,0.17971889674663544
15,0.9950315356254578,0.20197966694831848,0.0005,0.9996343851089478,0.1798715889453888
16,0.9955686926841736,0.20016947388648987,0.0005,0.9996343851089478,0.17920546233654022
17,0.9954344034194946,0.1992303431034088,0.0005,1.0,0.1783309280872345
18,0.995535135269165,0.1989487111568451,0.0005,0.9996343851089478,0.1798294633626938
19,0.996206521987915,0.19663873314857483,0.0005,0.9948811531066895,0.1875562220811844
20,0.9962736964225769,0.19572897255420685,0.0005,0.9992687106132507,0.1797880232334137
21,0.9962736964225769,0.19660533964633942,0.0005,1.0,0.1778617948293686
22,0.9962400794029236,0.19510263204574585,0.0005,1.0,0.17720289528369904
23,0.9962736964225769,0.19599325954914093,0.0005,0.9996343851089478,0.17774832248687744
24,0.996005117893219,0.19676409661769867,0.0005,0.9692870378494263,0.29329293966293335
25,0.996340811252594,0.1950293481349945,0.0005,1.0,0.17695246636867523
26,0.996475100517273,0.1944877803325653,0.0005,1.0,0.17686697840690613
27,0.9958036541938782,0.19567932188510895,0.0005,0.9996343851089478,0.17737899720668793
28,0.996475100517273,0.19373373687267303,0.0005,1.0,0.1774444282054901
29,0.9964415431022644,0.19383877515792847,0.0005,0.9996343851089478,0.17698869109153748
30,0.99654221534729,0.19375137984752655,0.0005,0.9996343851089478,0.17717987298965454
31,0.9976500868797302,0.18978232145309448,0.00025,0.9996343851089478,0.1769520491361618
32,0.9977172017097473,0.18982484936714172,0.00025,0.9996343851089478,0.17626547813415527
33,0.9977843165397644,0.1885535567998886,0.00025,0.9996343851089478,0.1765090674161911
34,0.9982543587684631,0.18703220784664154,0.00025,1.0,0.1753566414117813
35,0.9983550310134888,0.18680627644062042,0.00025,0.9974405765533447,0.17975182831287384
36,0.9979186058044434,0.1868835687637329,0.00025,1.0,0.1745220422744751
37,0.9984557628631592,0.18617050349712372,0.00025,1.0,0.17443972826004028
38,0.9984222054481506,0.1863139420747757,0.00025,1.0,0.17436295747756958
39,0.9979522228240967,0.1875338852405548,0.00025,0.998171865940094,0.17892582714557648
40,0.9981536269187927,0.18664515018463135,0.00025,0.9992687106132507,0.17706696689128876
41,0.9984893202781677,0.1852087825536728,0.00025,1.0,0.17454631626605988
42,0.9975493550300598,0.18765714764595032,0.00025,0.9996343851089478,0.17460182309150696
43,0.9981871843338013,0.18604668974876404,0.00025,0.9996343851089478,0.17440004646778107
44,0.9985900521278381,0.18446697294712067,0.000125,0.9996343851089478,0.17403604090213776
45,0.9987243413925171,0.1839330643415451,0.000125,0.9996343851089478,0.1739528924226761
46,0.9987914562225342,0.18373924493789673,0.000125,1.0,0.17407391965389252
47,0.9986571669578552,0.18398094177246094,0.000125,1.0,0.1734171360731125
48,0.9986907243728638,0.18397726118564606,0.000125,1.0,0.17359523475170135
49,0.9987243413925171,0.18324202299118042,0.000125,1.0,0.1732380986213684
50,0.9988585710525513,0.1833249181509018,0.000125,1.0,0.17384925484657288
51,0.9986571669578552,0.18329684436321259,0.000125,0.9893966913223267,0.19131238758563995
52,0.9987243413925171,0.18312951922416687,0.000125,1.0,0.1741480678319931
53,0.9987578988075256,0.18323573470115662,0.000125,0.9967093467712402,0.18153512477874756
54,0.9987578988075256,0.1829637736082077,0.000125,0.9711151719093323,0.2706212103366852
55,0.9988921880722046,0.18226151168346405,6.25e-05,0.9996343851089478,0.17388179898262024
56,0.9986907243728638,0.18287356197834015,6.25e-05,0.9989030957221985,0.17551879584789276
57,0.9988585710525513,0.18281951546669006,6.25e-05,0.9956124424934387,0.18363820016384125
58,0.9990264773368835,0.1820255070924759,6.25e-05,0.9831809997558594,0.2183719128370285
59,0.9989257454872131,0.18229959905147552,6.25e-05,0.9875685572624207,0.20932650566101074
60,0.999194324016571,0.1818208247423172,3.125e-05,0.9897623658180237,0.19518226385116577
61,0.9992278814315796,0.18130654096603394,3.125e-05,0.9861060380935669,0.21217697858810425
62,0.9991271495819092,0.18161648511886597,3.125e-05,0.9857404232025146,0.20991483330726624
63,0.9991271495819092,0.18165670335292816,3.125e-05,0.9747714996337891,0.24117784202098846
64,0.9992949962615967,0.1811935156583786,3.125e-05,0.9784277677536011,0.23208460211753845
65,0.9992614388465881,0.18140697479248047,1.5625e-05,0.9904935956001282,0.18998701870441437
