class,precision,recall,f1,support
asphalt,0.0,0.0,0.0,179
PVC,0.21614906832298136,1.0,0.355464759959142,174
sand,0.9491525423728814,0.7516778523489933,0.8389513108614233,149
gravel,0.0,0.0,0.0,268
grass,1.0,0.15469613259668508,0.2679425837320574,181
